OTUID	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample_09	Sample10	Sample11
ASV1	0	0	0	0	0	0	0	0	0	0	0
ASV2	0	0	0	0	0	0	0	2	0	0	0
ASV3	0	0	0	0	0	0	0	19	0	0	0
ASV4	0	0	0	0	0	0	0	0	0	0	0
ASV5	16	8	7	11	12	7	9	14	8	11	4
ASV6	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	0	0	0	0	0
ASV9	0	0	0	0	0	0	0	0	0	0	0
ASV10	1	0	0	0	0	0	0	0	0	0	0
ASV11	0	0	0	0	0	0	0	0	0	0	0
ASV12	0	0	0	0	0	0	0	0	0	0	0
ASV13	0	0	2	0	0	0	0	0	0	0	0
ASV14	0	0	0	0	0	0	0	0	0	0	0
ASV15	0	0	0	0	0	0	0	0	0	0	0
ASV16	0	0	0	0	0	0	0	0	0	0	0
ASV17	0	0	0	4	0	0	0	0	0	0	0
ASV18	0	0	0	0	0	0	2	0	0	0	0
ASV19	0	0	0	0	0	0	0	0	0	0	0
ASV20	0	0	0	0	0	0	0	0	0	0	0
ASV21	0	0	0	0	0	0	0	0	0	0	2
ASV22	0	0	0	0	0	0	0	0	0	0	0
ASV23	0	0	0	0	0	0	0	0	0	0	0
ASV24	0	0	0	0	0	0	0	0	0	4	0
ASV25	0	0	0	0	0	0	0	0	0	0	0
ASV26	97	84	68	77	48	38	61	40	43	54	19
ASV27	0	10	0	0	0	0	0	0	0	0	0
ASV28	58	50	69	67	25	51	51	43	48	45	50
ASV29	0	0	0	0	0	0	0	0	0	0	0
ASV30	25	34	38	42	16	29	40	27	29	19	19
ASV31	0	0	0	0	0	0	0	0	0	0	0
ASV32	17	23	18	19	9	10	12	8	9	13	7
ASV33	0	0	0	0	0	0	0	0	0	0	0
ASV34	0	0	0	0	0	0	0	0	0	0	0
ASV35	0	0	0	0	0	0	0	0	0	0	0
ASV36	8	12	9	3	10	5	6	5	0	1	1
ASV38	8	12	5	11	3	8	6	5	8	6	1
ASV39	0	0	0	0	0	0	0	0	0	0	0
ASV40	53	78	75	86	35	81	55	53	47	42	38
ASV41	0	0	0	0	0	0	0	0	0	0	0
ASV42	0	0	0	0	0	0	0	0	0	0	0
ASV43	0	0	0	0	0	0	0	0	0	0	0
ASV44	0	0	0	0	0	0	0	0	0	0	0
ASV45	0	0	0	0	0	0	0	0	0	0	0
ASV46	0	0	0	0	0	0	0	0	0	0	0
ASV47	0	0	0	0	0	0	0	3	0	0	0
ASV48	0	0	0	0	0	0	0	2	0	0	0
ASV49	0	0	0	0	0	0	0	0	0	0	0
ASV50	0	0	0	0	0	0	0	0	0	0	0
ASV51	0	0	0	0	0	0	0	0	0	0	0
ASV52	0	0	0	0	0	0	0	0	0	0	0
ASV53	0	3	0	0	0	0	0	0	0	0	0
ASV54	0	0	0	0	0	0	0	0	0	0	0
ASV55	0	0	0	0	0	0	2	0	0	0	0
ASV56	0	0	0	0	0	0	0	0	0	0	0
ASV57	0	0	0	0	0	0	0	0	0	0	0
ASV58	0	0	0	0	0	0	0	0	0	0	0
ASV59	0	0	0	0	0	0	0	0	0	0	0
ASV60	0	0	0	0	0	0	0	0	0	0	0
ASV61	0	0	0	0	0	0	0	0	0	0	0
ASV62	0	0	0	0	0	0	0	0	0	0	0
ASV63	0	0	0	0	0	0	0	0	0	0	0
ASV64	0	0	0	0	0	0	0	0	0	0	0
ASV65	0	0	0	0	0	0	0	0	0	0	0
ASV66	0	0	0	0	0	0	0	0	0	0	0
ASV67	0	0	0	0	0	0	0	0	0	0	0
ASV68	0	0	0	0	0	0	0	0	0	0	0
ASV69	0	0	0	0	0	0	0	0	0	0	0
ASV70	0	0	0	0	0	0	5	0	0	0	0
ASV71	0	0	0	0	0	0	0	0	0	0	0
ASV72	0	0	0	0	0	0	0	0	0	0	0
ASV73	0	0	0	0	0	0	0	0	0	0	0
ASV74	0	0	0	0	0	0	0	0	0	0	0
ASV75	0	0	0	0	0	0	0	0	0	0	0
ASV76	0	0	0	0	0	0	0	0	0	0	0
ASV78	0	0	0	0	0	0	0	0	0	0	0
ASV79	0	0	0	0	1	0	0	0	0	0	0
ASV80	0	0	0	0	0	0	0	0	0	0	0
ASV81	2	0	0	0	0	0	0	0	0	0	0
ASV82	0	0	0	0	0	0	0	0	0	0	0
ASV83	0	0	0	0	0	0	0	0	0	0	0
ASV84	0	0	0	0	0	0	0	0	0	0	0
ASV85	0	0	0	0	0	0	0	0	0	0	0
ASV86	0	0	0	0	0	0	0	0	0	0	0
ASV87	0	0	0	0	0	0	0	0	0	0	0
ASV88	0	0	0	0	0	0	0	0	0	0	0
ASV89	0	0	0	0	0	0	0	0	0	0	0
ASV90	0	0	0	0	0	0	0	0	0	0	0
ASV91	0	0	0	0	0	0	0	0	0	0	0
ASV92	0	0	0	0	0	0	0	0	0	0	0
ASV93	0	0	0	0	0	0	0	0	0	0	0
ASV94	0	0	0	0	0	0	0	0	0	0	0
ASV95	0	0	0	0	0	0	0	0	0	0	0
ASV96	0	0	0	0	0	0	0	0	0	0	0
ASV97	0	0	0	0	0	0	0	0	0	0	0
ASV98	0	0	0	4	0	0	0	0	0	0	0
ASV99	0	0	0	0	0	0	0	0	0	0	0
ASV100	0	0	0	0	0	0	0	0	0	0	0
ASV101	0	0	0	0	0	0	0	0	0	0	0
