"","Well","Sample","Filter","Date","Water_level","Temperature","pH","DO_percentage","DO_mg","DIC","DOC","NO2","NO3","NH4","negative","c_total","NOx"
"P1-01-01-arc","P1"," 1","1","2021-11-08","6.95","12.83","7.23","112.40","11.89","3.3","0.3"," 0.0042","0.0354","0.01890","FALSE","3.6","0.0396"
"P1-01-02-arc","P1"," 1","2","2021-11-08","6.95","12.83","7.23","112.40","11.89","3.3","0.3"," 0.0042","0.0354","0.01890","FALSE","3.6","0.0396"
"P1-02-01-arc","P1"," 2","1","2021-11-22","6.98"," 9.28","6.44"," 81.30"," 9.33","3.7","0.1"," 0.0034","0.0390","0.01640","FALSE","3.8","0.0423"
"P1-02-02-arc","P1"," 2","2","2021-11-22","6.98"," 9.28","6.44"," 81.30"," 9.33","3.7","0.1"," 0.0034","0.0390","0.01640","FALSE","3.8","0.0423"
"P1-03-01-arc","P1"," 3","1","2021-12-06","7.20"," 7.15","6.91"," 55.60"," 6.72","3.5","0.1"," 0.0008","0.0430","0.00110","FALSE","3.6","0.0438"
"P1-03-02-arc","P1"," 3","2","2021-12-06","7.20"," 7.15","6.91"," 55.60"," 6.72","3.5","0.1"," 0.0008","0.0430","0.00110","FALSE","3.6","0.0438"
"P1-05-01-arc","P1"," 5","1","2022-01-05","7.80"," 7.10","6.46"," 98.80",NA,"3.9","0.4"," 0.0024","0.0345","0.00170","FALSE","4.3","0.0369"
"P1-05-02-arc","P1"," 5","2","2022-01-05","7.80"," 7.10","6.46"," 98.80",NA,"3.9","0.4"," 0.0024","0.0345","0.00170","FALSE","4.3","0.0369"
"P1-06-01-arc","P1"," 6","1","2022-01-20","7.10"," 3.73","6.78"," 81.10","10.71","3.2","0.6"," 0.0006","0.0445","0.00290","FALSE","3.8","0.0451"
"P1-06-02-arc","P1"," 6","2","2022-01-20","7.10"," 3.73","6.78"," 81.10","10.71","3.2","0.6"," 0.0006","0.0445","0.00290","FALSE","3.8","0.0451"
"P1-07-01-arc","P1"," 7","1","2022-02-03","7.11"," 8.67","6.92"," 91.40","10.65","3.7","2.1"," 0.0006","0.0339","0.00220","FALSE","5.8","0.0345"
"P1-07-02-arc","P1"," 7","2","2022-02-03","7.11"," 8.67","6.92"," 91.40","10.65","3.7","2.1"," 0.0006","0.0339","0.00220","FALSE","5.8","0.0345"
"P1-08-01-arc","P1"," 8","1","2022-02-16","7.14"," 4.29","7.13"," 88.40","11.51","3.5","0.2"," 0.0006","0.0563","0.00090","FALSE","3.7","0.0569"
"P1-08-02-arc","P1"," 8","2","2022-02-16","7.14"," 4.29","7.13"," 88.40","11.51","3.5","0.2"," 0.0006","0.0563","0.00090","FALSE","3.7","0.0569"
